;Values;Average_difference;Average_value;Std_values;videoid;channel
1;Lightness;0.5132590089762075;48.070017219957286;18.91162137512785;13;Coco
2;Saturation;0.40307284369553703;51.03732541254125;17.431442575432687;13;Coco
0;Hue;1.5218542833232631;337.7731480180438;53.1924828572002;14;Coco
1;Lightness;0.2824770523594053;61.741237975386746;12.199172815589174;14;Coco
2;Saturation;0.37525519681556835;56.6146759632445;14.635060658852092;14;Coco
0;Hue;2.2620142451907;241.84626984616236;97.75671562611582;15;Coco
1;Lightness;0.36948455381167006;51.81129399207959;17.104803083595858;15;Coco
2;Saturation;0.36822684037892073;52.18069865739399;15.792682011341435;15;Coco
0;Hue;3.133954892610794;287.650795872793;80.06062257569594;16;Coco
1;Lightness;0.6002791905127147;65.35829676523016;13.332752916554048;16;Coco
2;Saturation;0.5416325971378187;69.55405265020447;11.083521948905922;16;Coco
0;Hue;1.8779736423178117;131.69416672768332;114.14466033547708;17;Coco
1;Lightness;0.4133663399388272;32.986393274926996;21.61976439976794;17;Coco
2;Saturation;0.5113120855918447;36.78750700876095;23.933810890546486;17;Coco
0;Hue;1.897895446097282;261.30393728443045;87.67826857611304;18;Coco
1;Lightness;0.39656871746040784;61.26615020365634;15.926979573698127;18;Coco
2;Saturation;0.37527781172870217;76.41873751065644;11.41685786541066;18;Coco
0;Hue;2.2283824591615624;213.03036806635774;90.762880604348;19;Coco
1;Lightness;0.49939007290279147;57.0768049347181;15.887792854711837;19;Coco
2;Saturation;0.5295102049585356;60.124709383625635;14.73252131374619;19;Coco
0;Hue;2.5760663398054464;218.98636047727717;82.32802658662126;20;Coco
1;Lightness;0.3493057040998217;63.34549001785646;10.757154947896513;20;Coco
2;Saturation;0.4415834018922255;56.07852861319322;12.814911065753385;20;Coco
0;Hue;1.5775745861592694;273.65345273929876;123.0525591846157;1;PinkFong
1;Lightness;0.26894194824301176;53.15603462476973;18.637202662803674;1;PinkFong
2;Saturation;0.28659817186407144;59.45672073531823;19.741485357568234;1;PinkFong
0;Hue;1.295626815079151;242.546555815237;75.91106248546232;2;PinkFong
1;Lightness;0.21032408546983197;76.91735418643263;10.84034382102793;2;PinkFong
2;Saturation;0.23884740283812042;79.52225823252688;13.504134488916366;2;PinkFong
0;Hue;2.9716850331481677;273.2251774616848;149.70376688529151;3;PinkFong
1;Lightness;0.4945170563274816;56.82784286001428;19.420027923540495;3;PinkFong
2;Saturation;0.591824597165599;50.045582295413745;28.13680221349469;3;PinkFong
0;Hue;3.290506568241232;264.24569972358614;156.98584509917663;4;PinkFong
1;Lightness;0.4413920299378886;53.598751099103524;16.289140869548472;4;PinkFong
2;Saturation;0.6320188667657499;55.60201234598224;25.441418871334555;4;PinkFong
0;Hue;2.204823011367892;303.28017045769326;78.91686636692879;5;PinkFong
1;Lightness;0.4369602270935184;54.40324605189167;17.667810458598634;5;PinkFong
2;Saturation;0.5402710508332018;48.484338352226445;21.24931093856038;5;PinkFong
0;Hue;2.1112547420203303;242.52397851517804;111.64869020230644;6;PinkFong
1;Lightness;0.4004634151464549;62.90020502401764;17.942983466658358;6;PinkFong
2;Saturation;0.40093082117689066;54.64191138409848;21.820566306618286;6;PinkFong
0;Hue;2.176536980616851;331.0243252205377;81.4181357225029;7;PinkFong
1;Lightness;0.45572251867662755;52.54160795472377;14.363786825411001;7;PinkFong
2;Saturation;0.4889950474675818;42.40441779386484;17.319692663518317;7;PinkFong
0;Hue;1.0527804223837682;226.48925250082155;133.0530218866565;8;PinkFong
1;Lightness;0.2050271146115349;51.74112853005254;22.109142547355237;8;PinkFong
2;Saturation;0.23085238739847408;61.77677891067538;20.009527372114633;8;PinkFong
0;Hue;2.7378970567761978;315.2010302810782;166.87720281871037;9;PinkFong
1;Lightness;0.4102741965795902;56.87013256430008;24.127958053889653;9;PinkFong
2;Saturation;0.5949822213869572;36.52449011466612;26.412949518695825;9;PinkFong
0;Hue;2.0493544521493834;326.99645315432684;111.88299093263657;10;PinkFong
1;Lightness;0.3509382553284991;55.90955720891783;22.34362916513918;10;PinkFong
2;Saturation;0.3376150555146251;56.64477550440466;28.663559062787545;10;PinkFong
