;type;num_scene_changes;difference;std_count;scene_changes_per_min;time_interval;videoid;channel
285;all_frames;80;10;8.26438140455776;11.2118097729609;5.3255;18;Bluey
286;half_half_second;90;0;8.26438140455776;11.2118097729609;5.3255;18;Bluey
287;half_second;88;2;8.26438140455776;11.2118097729609;5.3255;18;Bluey
288;per_second;81;9;8.26438140455776;11.2118097729609;5.3255;18;Bluey
289;two_seconds;69;21;8.26438140455776;11.2118097729609;5.3255;18;Bluey
290;all_frames;33;4;2.19089023002066;16.566265060241;3.55515151515152;19;Bluey
291;half_half_second;34;3;2.19089023002066;16.566265060241;3.55515151515152;19;Bluey
292;half_second;33;4;2.19089023002066;16.566265060241;3.55515151515152;19;Bluey
293;per_second;37;0;2.19089023002066;16.566265060241;3.55515151515152;19;Bluey
294;two_seconds;31;6;2.19089023002066;16.566265060241;3.55515151515152;19;Bluey
295;all_frames;141;2;12.1531888819355;20.1409389581945;2.9577304964539;20;Bluey
296;half_half_second;142;1;12.1531888819355;20.1409389581945;2.9577304964539;20;Bluey
297;half_second;143;0;12.1531888819355;20.1409389581945;2.9577304964539;20;Bluey
298;per_second;134;9;12.1531888819355;20.1409389581945;2.9577304964539;20;Bluey
299;two_seconds;114;29;12.1531888819355;20.1409389581945;2.9577304964539;20;Bluey
300;all_frames;59;78;36.0027776706187;20.5564964916526;2.73516949152542;1;Coco
301;half_half_second;137;0;36.0027776706187;20.5564964916526;2.73516949152542;1;Coco
302;half_second;137;0;36.0027776706187;20.5564964916526;2.73516949152542;1;Coco
303;per_second;116;21;36.0027776706187;20.5564964916526;2.73516949152542;1;Coco
304;two_seconds;75;62;36.0027776706187;20.5564964916526;2.73516949152542;1;Coco
305;all_frames;114;225;108.932547936785;32.7142287764049;1.7390350877193;2;Coco
306;half_half_second;339;0;108.932547936785;32.7142287764049;1.7390350877193;2;Coco
307;half_second;299;40;108.932547936785;32.7142287764049;1.7390350877193;2;Coco
308;per_second;178;161;108.932547936785;32.7142287764049;1.7390350877193;2;Coco
309;two_seconds;97;242;108.932547936785;32.7142287764049;1.7390350877193;2;Coco
310;all_frames;53;176;76.1597006296637;17.6055363321799;3.00864779874214;3;Coco
311;half_half_second;229;0;76.1597006296637;17.6055363321799;3.00864779874214;3;Coco
312;half_second;206;23;76.1597006296637;17.6055363321799;3.00864779874214;3;Coco
313;per_second;147;82;76.1597006296637;17.6055363321799;3.00864779874214;3;Coco
314;two_seconds;82;147;76.1597006296637;17.6055363321799;3.00864779874214;3;Coco
315;all_frames;53;71;31.8825971338597;18.1067615658363;3.03694968553459;4;Coco
316;half_half_second;124;0;31.8825971338597;18.1067615658363;3.03694968553459;4;Coco
317;half_second;123;1;31.8825971338597;18.1067615658363;3.03694968553459;4;Coco
318;per_second;114;10;31.8825971338597;18.1067615658363;3.03694968553459;4;Coco
319;two_seconds;76;48;31.8825971338597;18.1067615658363;3.03694968553459;4;Coco
320;all_frames;61;68;25.7235300843411;15.3759235115167;3.65347654041832;5;Coco
321;half_half_second;105;24;25.7235300843411;15.3759235115167;3.65347654041832;5;Coco
